file_name,text,sentiment,happy,sad,anger,surprise,disgust,fear
1.wav, Night Shamylan I think,-0.33333334,0.0,0.6666667,0.0,0.33333334,0.0,0.0
2.wav, M,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0
3.wav, Night Shmamalan or something like that,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.0
4.wav, It made me jump,0.0,0.33333334,0.0,0.0,1.0,0.0,0.6666667
5.wav," Well, it's not even a movie at that",-1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
6.wav,Just kinda starting to listen to what my body needs,1.0,0.6666667,0.0,0.0,0.33333334,0.33333334,0.0
7.wav," I love that, from a career development standpoint",1.6666666,1.3333334,0.0,0.0,0.0,0.0,0.0
8.wav, Taking a small job,0.6666667,2.0,0.0,0.0,0.0,0.0,0.0
9.wav, Maybe a pale yellow in the kitchen to brighten things up,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
10.wav," Number three, fix or replace an anything that's broken",-0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
11.wav," Anything that is necessary, but don't over improve!! That's one of the biggest problems that people do",-1.0,0.0,0.0,0.0,0.0,0.0,0.0
12.wav," The put in too much money, and they wind up losing in the end",0.33333334,1.0,0.33333334,0.0,0.0,0.0,0.0
13.wav, So to consider that,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14.wav, Pricing your house is the key to a quick sale,0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
15.wav," We will do all the work for you, so you dont have lift a finger",1.3333334,0.0,0.33333334,0.0,0.0,0.0,0.0
16.wav, things do take time,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0
17.wav," Even vacant houses they get dirty, they get dusty",-1.0,0.0,0.0,0.0,0.0,0.33333334,0.0
18.wav," Consider hiring somebody, make it look immaculate",0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
19.wav," Number two, cultivate a cohesive and neutral style",0.0,0.33333334,0.0,0.0,0.0,0.0,0.0
20.wav, Everything has to work together light colors,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0
